seq	day_num	date	year	sun_elong	elong	lat	ra	decl	key_events
1	1	-1299-05-24	-1299	59.53	41.45	-1.38	39.46	13.95	lon_bend_east
2	11	-1299-06-03	-1299	69.05	60.16	0.58	57.85	20.76	east_visibility_last
3	28	-1299-06-20	-1299	85.30	94.90	1.81	95.41	25.16	west_visibility_first
4	34	-1299-06-26	-1299	91.06	105.81	1.54	107.35	24.03	ayana_dakshina
5	63	-1299-07-25	-1299	119.13	145.88	-2.19	147.38	10.83	lon_bend_west
6	84	-1299-08-15	-1299	139.75	147.86	-3.42	148.85	9.01	west_visibility_last
7	93	-1299-08-24	-1299	148.67	138.39	-0.88	140.55	14.47	east_visibility_first
8	104	-1299-09-04	-1299	159.64	141.33	1.73	144.29	16.03	lon_bend_east
9	123	-1299-09-23	-1299	178.75	169.90	1.39	171.27	5.27	east_visibility_last
10	155	-1299-10-25	-1299	211.27	220.63	-1.77	38.78	13.33	west_visibility_first
11	179	-1299-11-18	-1299	235.80	254.98	-1.12	73.84	21.48	lon_bend_west
12	190	-1299-11-29	-1299	247.03	255.17	1.98	73.66	24.58	west_visibility_last
13	198	-1299-12-07	-1299	255.18	245.68	3.54	63.09	24.74	east_visibility_first
14	214	-1299-12-23	-1299	271.41	245.67	1.68	63.44	22.90	ayana_uttara
15	219	-1299-12-28	-1299	276.46	250.31	0.83	68.56	22.81	lon_bend_east
16	254	-1298-02-01	-1298	311.44	302.58	-2.03	124.37	17.61	east_visibility_last
17	272	-1298-02-19	-1298	329.15	338.69	0.06	160.33	8.37	west_visibility_first
18	290	-1298-03-09	-1298	346.66	6.94	2.92	365.21	5.44	lon_bend_west
19	306	-1298-03-25	-1298	2.09	10.46	1.66	368.96	5.67	west_visibility_last
20	318	-1298-04-06	-1298	13.59	4.16	-1.57	364.44	0.22	east_visibility_first
21	339	-1298-04-27	-1298	33.62	10.61	-3.28	371.04	1.18	lon_bend_east
22	361	-1298-05-19	-1298	54.54	46.21	0.25	403.67	16.92	east_visibility_last
